,Customer Reviews,Compound Score,Positive Score,Neutral Score,Negative Score
87,The servings were huge and a little pricy. Very friendly staff. ÌâåÊI give it 4 stars because of the atmosphere. It was a hot day and they had very little air circulation so it was pretty steamy. ÌâåÊFYI - They do not have public restroom.,0.8399,0.191,0.809,0.0
88,"Food was excellent and came out pretty quickly - especially given it was lunch! The koobideh was actually a little cold but the owner, Rok, quickly addressed it and had another skewer right off the grill to me in only a few minutes (after bringing it to his attention). Highly recommend the salmon as it was super flavorful!",0.9334,0.216,0.784,0.0
89,This place is awesome! The food is delicious and portions are generous! Very friendly staff and cooks!I recommend it to everyone!!,0.9599,0.533,0.467,0.0
90,Best food I've had in a while both me and my GF's plate. I got chicken kebab plate and she got felafel wrap (vegetarian). We tried dolmas and baclava too and I'm no expert but absolutely the best I've ever.I will 100% be coming back many many more times.They accidentally brought out a chicken wrap instead of the felafel wrap but the owner had a fresh wrap made and the chicken wrap was boxed and given to a homeless guy outside. Amazing my dude thank you for this food I can tell it comes from your heart,0.9524,0.185,0.768,0.047
91,Food was really ÌâåÊgood and great service owner was very attentive. Super chill place very quiet.,0.8605,0.379,0.621,0.0
92,"One of my work mates wanted kebab, so off to Yelp and then to here to check it out. ÌâåÊI am glad we came, because it is straight up tasty. ÌâåÊIt is tiny shop closer to the Courthouse than the new renovations in DTSA, but worth trying if you are looking for Greek and Mediterranean food. ÌâåÊI wouldn't call it fusion, but they do step away from some of the traditional fare to cater to a more diverse set of tastes, but hey, that is what food in So Cal is all about.It definitely hit the spot for the day, and it is a place worth going back to again./",0.8658,0.102,0.898,0.0
93,"I would never have found this great Persian kabob place if not for the 2017 rendition of Savor Santa Ana. I earmarked the spot as I planned my path through the different zones on the provided map and calculated the cost per ticket for the right balance of cuisines and cocktails. Damn right I needed a drink!Anyhow, by the time I arrived here they were slammed. As the evening progressed it got steadily busier everywhere. Ironically, I could have started here first because it was across the street from the ticket booth. The manager, Rock, was a gracious host and very friendly. Some of the people waiting for their Mediterranean Sampler were grumbling about the wait but when the platters arrived it was clear that pride and attention to detail went into every portion. I had to wait until the second platter came but Rock was so cool I took a selfie with him. My pics show the results and I have to say that chicken kabob is amongst the best I've had. Not too salty either!Because I found several places worth visiting again in old Santa Ana, I'm plotting my return to Kabob Place. Bravi!",0.978,0.133,0.858,0.009
94,"Simple no-nonsense good, fresh food at a fair price. ÌâåÊI enjoyed the Lamb Kabob. ÌâåÊIt was prepared with tasty spices, rice and/or salad, baked tomato and green pepper. ÌâåÊI am a BIG eater and was very full after just the one meal.I cannot wait to try the Gyro Breakfast Wrap.About the parking.... ÌâåÊIt is not easy to drive in, eat, and drive away. ÌâåÊYou have to be really lucky or visit during midday on a weekday to park right out front on 4th Street.But there is easy parking very close. ÌâåÊWithin a block there is a cheap/free city parking garage.Downtown Santa Ana is generally a good walking destination anyway. ÌâåÊI usually combine a meal at the Kebab Place with a visit to ""Good Beer"" brewery across the street or a desert at the 4th Street Market(try Front Porch Pops or Chunk N Chip), and/or a film at the Frida Cinema. ÌâåÊFourth Street is a great place to walk around, shop, eat, and experience.",0.9495,0.149,0.805,0.046
95,"Unbelievable all around. No kidding - it was AMAZING. The seating area is so unique with the murals on the walls, the cool light fixtures, the large tv screens, the mood lighting. We walked into an experience. The service was absolutely phenomenal: checking in on us, quick to respond, friendly, sincere. And when we got our food, we were stunned at how much better this is compared to other gyro places we have been. By far, this place is my favorite for gyro! We will be back. It's saved to my collection of favorite restaurants. Well done, Kebab Place.",0.9762,0.253,0.717,0.03
96,Food was amazing and service was exceptional. I had the gyro wrap with fries and was blown away by the quality and taste. Will definitely be back again very soon!,0.7777,0.201,0.799,0.0
97,"This place is exceptional!!! I ordered the organic chicken all white meat !!! Juicy ,flavorful , wonderful presentation! All the sauces are fantastic! And the customer service is phenomenal... definitely will try again and again . Great place for families.",0.9457,0.316,0.684,0.0
98,"Food is really good! The service is great, too. Meals are a little pricey, but they are excellent quality. Looking forward to going back there!",0.8829,0.329,0.671,0.0
99,"This has become my favorite restuarant in OC. Today We had the Sultan plater which consists of chicken Kebab, steak Kebab and grilled Salmon, we also added Koobide and Gyro with Mediteranian salad and rice. Everything was amazing ( a little piece of heaven ). The only thing better than their wonderful food is their service, the owner took his time to explain every dish. I love this place and I recommend it to everyone!",0.9733,0.268,0.732,0.0
100,Let me start off by saying this food was delicious! Originally I drove here to check out a restaurant but it was closed. Then I looked on yelp and found this place nearby... it definitely did not disappoint me. I ordered the Stoner Greek Fries and the portion was perfect! I eat a lot and love food. I can't wait to try other things on the menu! Definitely recommend this place if you're in the area of Santa Ana.,0.9823,0.296,0.704,0.0
101,I love Mediterranean food! ÌâåÊI look for healthy food alternatives and know I'll find something at a Mediterranean food restaurant. ÌâåÊI choose their greek salad with chicken kabob. ÌâåÊThis was a perfect blend of flavors starting with their pita bread and green sauce. ÌâåÊThe salad was so fresh and the balsamic dressing was perfect! THe chicken kabob was wonderfully seasoned and grilled to ÌâåÊperfection. I definitely recommend you give this place a try!,0.9746,0.304,0.658,0.038
102,"Plates are big, salad, rice and meat Loved the chicken kabob had a lot of food left over",0.5994,0.196,0.804,0.0
103,This is a five star rating spot I'm always satisfied and feel healthy after eating here Fantastic Kabobs with responsible price The food is always fresh and Delish ÌâåÊI highly recommend this place they are doing a really great job,0.9632,0.403,0.597,0.0
104,They were catering at this art event I think it was last year. It was a awards ceremony. The food these guys served was phenomenal!!! I gotta go there to have more of thier food again. The meat was perfect flavor the texture was tender. The yogurt mixed well with the food. Very high classed food. It was a very good example. Good idea sending menus flyers at that event.,0.9436,0.208,0.792,0.0
105,"I bought the $35 for $50 worth of food deal. (Now it's ÌâåÊ$45 for $50, I believe). I am SUPER disappointed. This is now TWICE they have been closed during normal posted business hours. We drove all the way up from sad Diego and were super bummed to find out that they were closed. It seems as if I have wasted money on their deal, wasted my time, and wasted gas... ugh. What a let down.",-0.8002,0.115,0.681,0.204
106,"Rock, the new owner, was very nice.I had the chicken kabob platter and a side of fries. Everything was really good. I'll be back frequently.",0.4927,0.122,0.878,0.0
107,"Moved in next door to the kebab place and had the chicken kabob with salad and rice. IT WAS AMAZING. I will be coming here all the time now. :) Oh, and the owner gave us some baklava to try and it was the best I've had. Supa fresh!",0.9363,0.246,0.754,0.0
108,"Delicious and great friendly customer service, will definitely came back ÌâåÊpresentation was beautiful",0.9559,0.688,0.312,0.0
109,"I've been to Kebab Place a few times and I've had positive experiences every time. The food is delicious, especially the chicken kebab plate which is my go-to. The portions are decent and I like that there are options to mix up salad and rice. The owner, Rok, is a super cool guy and you can tell he really wants to deliver a good dining experience for his customers. The only caveat is the parking situation and the wait times for orders can be a little bit on the longer side (but that means business I going good!). I've recommended this place to all my friends in the area, and I'm usually picky with my food so you know when I say it's good, I mean it.",0.9776,0.197,0.803,0.0
110,"Food was ""ok"" but I ordered appetizers only, so I'll edit my review once I get an opportunity to taste other main dishes. ÌâåÊThe fries were too salty. ÌâåÊThe smoked humus was meh, okay. ÌâåÊThe grape leaves were great. ÌâåÊThe reason for 4 star was the delivery guy who was very pleasant and honest. ÌâåÊHe almost rejected my cash tip and went over the receipt to show me I had already tipped him. ÌâåÊI went ahead and insisted because of his honesty. ÌâåÊThank you sir!",0.9737,0.249,0.699,0.052
111,"The food in this places is delicious, although it needs more staff when it's full. If it's full and you want to grab lunch and go back to work don't go. The owner is great!!",0.8652,0.232,0.768,0.0
112,"This place is kind of hidden, but first time trying it and I love it! Can't wait to try some other items on the menu. We love the fries and the meat is so tender!",0.9347,0.276,0.724,0.0
113,This place was super delicious and definitely unique in the most awesome way. I definitely recommend this place for a great experience,0.975,0.649,0.351,0.0
114,"The food was amazing and service is great. Recommend Kebab Place for catering, they delivered the food on time, hot and our family loved it all.",0.936,0.394,0.606,0.0
115,"Had lunch with my family here today, and we left satisfied with our tummies full of delicious, freshly made food. Their service is on point, they're kind, attentive, and courteous! The restaurant itself is very well kept, beautifully decorated, and peaceful (due to all the candles and calming music)! Will definitely come back for more!",0.9818,0.387,0.613,0.0
116,"Great food! Cilantro sauce with bread is amazing. Loved their salmon soft, buttery, and full of flavor. ÌâåÊThe owner is kind and friendly. ÌâåÊDefinitely coming back.",0.9622,0.471,0.529,0.0
117,Awesome spot! The food was awesome and service is great. Would definitely come back. A must try if you're in Santa Ana,0.9459,0.474,0.526,0.0
118,Great service delicious food!I like the ambiance and variety.This has beef chicken ÌâåÊsalmon khabab etc... fresh sauces... rice hmmmm so perfect!I also had their beef angus burger. It was super juicy served hot.The owner is very detailed and thoughtful.Great customer service. Perfect place to take a date or just have a good meal with family and friends!!!,0.9806,0.368,0.632,0.0
119,Delivery is quick! Food is always good although I always order the same dish so I haven't tried much variety.,0.4926,0.158,0.842,0.0
120,"Fabulous organic chicken and steak for dinner last night at Kebab Place on 4th Street in Old Town Santa Ana. Great service, staff was welcoming and the food was bountiful, very fresh and delicious!. The restaurant is clean and on a lively street. The Owner, Rok, on occasion will play the guitar for entertainment. Something for everyone on the menu in a relaxing atmosphere",0.9783,0.34,0.66,0.0
121,"My husband and I had a chance to break away for a quick lunch date. I had been watching this place on yelp for awhile waiting for the perfect time to try it out, the pictures alone are enough to make your mouth water! I have to say, we were not disappointed! The quality of their meats and salmon are so fresh! The sauces are all home made and you can really tell with the taste. I give this restaurant 5 stars because the food was simply amazing! You may experience a longer wait at lunch time but I promise it's worth it!",0.9184,0.159,0.827,0.014
122,"Went here for lunch on Saturday with my wife. ÌâåÊWe tried several dishes. ÌâåÊThe pita was warm and fresh. ÌâåÊThe greek stoner fries with waffle fries, gyro meat, tzaziki sauce and feta were amazing. ÌâåÊWe had the sultan plate with the chicken kebab, steak kebab, and kibbeh kebab. ÌâåÊNot a big fan of kibbeh in general, but my wife like it. ÌâåÊThe steak kebab was good, but the chicken kebab was amazing, juicy, tender, and flavorful. ÌâåÊWe tried a felafel appetizer as well which was also very good. ÌâåÊWe will come back next time we are in the area.",0.9711,0.225,0.756,0.019
123,"Hole in the wall place. I bought the chicken Kabob with 1/2 rice 1/2 salad and it was delicious. The rice is not dry, the chicken flavorful, the green sauce was . 1st time customer but definitely coming back",0.7096,0.144,0.856,0.0
124,"Great food, expensive for extra sides of sauce and could use more flavor but food was delicious! Delivery was expensive too.",0.8356,0.293,0.707,0.0
125,"I am so happy to come back to our local Greek establishment that is under new ownership and management. ÌâåÊThe food is great, Rok (owner) is a great guy that has created a great restaurant. ÌâåÊI will be coming back again and again. ÌâåÊThanks Rok.",0.9601,0.331,0.669,0.0
126,Food is actually good but I do think is over priced. I didn't give it a 5 star since It was only my mom and I and I paid $40.00 for 2 platters.,0.2382,0.072,0.928,0.0
127,"Food was amazing, the server Sylvia was super attentive and knowledgeable. We met the owner and he seemed pretty down to earth too.",0.8979,0.353,0.647,0.0
128,Came here for the first time for dinner and was blown away by the service and food! It's so cozy and cute! The music and ambience transport you to feeling like you are somewhere in the Mediterranean on vacation. The owner Rok is SO hospitable and makes you feel like you're at home from the minute you walk in. The food was AMAZING!! The appetizer trio and the stoner fries were BOMB!!! The falafels the salmon the gyro the chicken we tried it all! Every dish was perfection! Mouth watering and delicious!! We are hooked and we can't wait to be back!!,0.958,0.189,0.778,0.033
129,Great place hidden gem in downtown area of Santa Ana will definitely come back owner was very welcoming and the food is amazing from the hummus to the chicken and steak can't go wrong 100%,0.9464,0.353,0.647,0.0
130,If you're looking for awesome Mediterranean food look no further. This place was amazing from the warm hospitality when you walk in to the flavorful menu packed with amazing platters. I got the sultan platter and make sure you do not skip out on ordering the salmon! It had the most amazing flavor with fresh herbs and cooked to perfection. Make sure to not skip out on the cilantro sauce! It's full of flavor and perfect with the warm pita bread. I am definitely coming back again.,0.9838,0.325,0.626,0.049
131,Sidewalk eating area. Chicken kebab plate with half rice half salad!! With hummus app. Soooooo good. My daughter is a picky eater but devoured all of this!!! It's a must try if your around here!! Perfect after a vintage market finds!,0.8469,0.185,0.815,0.0
132,The best hummus ever! And their peta bread is puffy and you can taste it is fresh! I ate the chicken kabob and I cannot complain the food was great!,0.9272,0.361,0.639,0.0
133,Food was so delicious I'm droving there for seconfs. Delivery was on time. The delivery person was so courteous.,0.8745,0.346,0.654,0.0
134,"We came in tonight just before closing. Usually not a good thing to do as the pickings can be slim and the quality unknown. Boy we're we wrong. It's very rare the food actually looks like the pictures some places post. Being from out of town, we looked at all the Greek places on Yelp and decided to gave them a try. What a treat. The owner, Rok, was amazing from the start, explaining the menu and choices for each meal and really pleasant to talk to. We ordered the Sultan Plate, as I wanted to try a variety of the meats. We also got the regular Gyro platter. The Salmon was absolutely amazing, hot, tender and delicious. The koobideh and the chicken were equally as good and we were amazed that each stayed moist throughout the meal, and yes, ÌâåÊloaded with flavor. The Gyro plate was excellent with plenty of meat. The green sauce they serve tops off what we found to be some of the best Greek food we have tasted. I will gladly pay a few dollars more to get the quality of food that Rok served us tonight. We will be back.",0.9852,0.178,0.78,0.042
135,The worst Restrunt ever we spend 40 dollars the guy he was wearing Bluetooth around his neck was very rude and I was there with my family I didn't want to cause a scene we were very uncomfortable as he kept staring at us he didn't even have complementary water you had to buy bottled water the only reason we ate there because we are not from the area and it was the only restaurant that had kebabs in that area it was the worst experience ever I would not recommend anybody to support this restaurant because we felt very very uncomfortable as he kept staring at us like we were from a different planet and he was very very rude and he even charged us for bread which is free at any other Middle Eastern restaurant. Even when we left we were with kids they dropped some fry's on the floor he bent over looking at the table!!! DO NOT GO TO THIS RESTRUNT IF YOU WANT TO PAY ALOT OF MONEY AND NOT ENJOY YOUR FOOD IN PEACE!!!,-0.9469,0.072,0.772,0.156
136,Food is delicious! Stopped by here on a Friday during lunchtime. Even though the place was busy- our food was brought out very quickly and everything was perfect! We had the sultan platter and chicken kabob.... don't forget to try the baklava for dessert!!!!,0.8531,0.2,0.763,0.037
137,"Got the chicken kabob plate and boy was it delicious! ÌâåÊBecause it was my first time here, the owner gave me a special green chipotle lime sauce and it was fantastic. ÌâåÊLove the ambiance of the place too.",0.8832,0.232,0.768,0.0
138,"Have you ever ordered food to go and then get so excited smelling it that you sit in the car like a crazy person shovelling goodness into your mouth?Yo. I've finally found Mediterranean in OC that I ACTUALLY want to come back to.Dude. I feel like Guy Fiery talking nonsense about how I just got a one-way ticket to Flavortown and I'm not looking back. First off, the owners are AMAZING. Feels like I've known them for years. I waited a little longer than I expected for a to go order but that means it's fresh. After talking to Rok, I got the sampler so I could try a little of everything. ITS AMAZING.The salad dressing...can I bottle that?That cilantro sauce is divine.The hummus the perfect texture. Rice perfectly buttered.The flavor on the Gyro was insane. The chicken was moist and flavorful without being salty. THAT KOOBIDEH THO.Talk about a #flavorsplosion.Oh my gosh I'm doing a happy dance. Y'all GET DOWN HERE NOW.",0.974,0.186,0.763,0.051
139,This place was kind of confusing but the cashiers were very sweet and overall great experience!,0.8953,0.416,0.52,0.064
140,I decided to come to Kebab Place based off of the location and the reviews. The ambiance of this location is amazing and very peaceful. The music was a bit too loud at times . As soon as I entered the cashier guy was on the laptop and he wasn't very welcoming . I just came for the food so it didn't bother me . I do think the food is a bit overpriced for what you get in the end. The chicken is delicious but isn't the best kabob. You get like two pieces of vegetables and a small amount of rice. The rice was what I was most excited for but was my least favorite part. The pita bread that came with the meal did not taste fresh and I'm 100% that it was store bought. Overall I would recommend going to Panini Grill instead of this location. I will say the chef that brought out my food was very kind. The cashier was what ruined my experience . I'm just saying but how are you going to give an attitude when I ask if you sell the yogurt drink. It ain't that deep.,0.238,0.112,0.79,0.098
141,"Service-poor. ÌâåÊI was the only one in line and it still took almost 10 minutes to place my order. Woman at the register was unfriendly,uncommunicative and barely spoke. When I asked for a cup of water she pointed to the bottle waters in the cooler. When I said no and I again asked for a cup of water she pointed to a water dispenser on the counter. Waited over 10 minutes for a Gyro pita that should have taken 5 minutes at most. When the same woman delivered my food, I thanked her but got no response. Food-poor. Gyro pita wrap was dry and bland. No tzatziki sauce which is the core of a pita sandwich and gives it flavor and moisture. Gyro portion was ok but the wrap was overwhelmed by lettuce Price- poor $9.95 for my disappointing lunch of a gyro pita sandwich and no sides. Recommendation - don't go. ÌâåÊGo to Crave down the street for a great sandwich,soup and/or salad",-0.9704,0.064,0.753,0.183
142,This place has really good Mediterranean food. I had the Salmon kabob and it was flavored very well. The portion was good & price is decent. My husband got the combo platter & the kabobs was cooked very well. The owner is really sweet. Next time if your around the area & hungry this is the place.,0.9255,0.232,0.768,0.0
143,"Heavenly. On keto, swapped the rice for all salad, extra oil and butter for the meats.",0.6124,0.211,0.789,0.0
144,"One of the best Kebab's that I had. The rice was perfect, the meat was done well. This owner clearly knows good food. The service was quick and excellent as well. I highly recommend it.",0.9726,0.492,0.508,0.0
145,"We love this place! The food is amazing, the owner and staff are so incredibly nice and the price is spot on. The food is fresh, organic and so so so delicious! Kebab place is one of our very favorite places for lunch or dinner in dtsa. Thanks for keeping us fed and happy :)",0.9868,0.415,0.585,0.0
146,"The owner really knows what they are doing! The entire experience is amazing. ÌâåÊWe were going to take out and he suggested we dine in and we are so glad we did! The food is fresh daily and literally cooked to perfection!! Even if you stick to the basics while eating, theres something for everyone. ÌâåÊWe will absolutely come back. ÌâåÊThank you for your kindness! Your restaurant is beautiful and food is phenomenal!",0.971,0.245,0.755,0.0
147,"This place is awesome! Went there with a few friends that live in OC. We ordered a few different dishes and shared. Everything was delicious and high quality. The Mediterranean salad, kebabs, dessert were all wonderful. Wish this place was closer to me.",0.9638,0.364,0.636,0.0
148,"Now that was some good gyro. ÌâåÊThe meat was temperature hot, moist, tender and not too salty. ÌâåÊIt even had some crispy ends which was a pleasant surprise. ÌâåÊWhile the food took a while, likely because they were preparing a catering order. ÌâåÊDuring the wait, some hot pita bread and olive oil dipping sauce. ÌâåÊBut back to the plate, the salad and rice were good as well.",0.836,0.178,0.776,0.046
149,"It was pretty bad as a a food option for beer tasting across the street. My main Gripe was the unfriendly person at the register and the ""Stoner fries"" have nothing that makes them especially ""stoner"". Maybe add some stoner sauce to them fries and I would be happy. ÌâåÊSeems kinda pricy, I think the order taker was the manager taking advantage of intoxicated patrons.",0.4404,0.126,0.79,0.085
150,"We dined here on a Saturday night and it was the best experience ever. We ordered two Sultan Platter that comes with Chicken, Steak, Koobideh kebab and Salmon kebab. My favorite was Salmon and Lamb. Great food and the ambience is so beautiful. We loved the owner Rok! We will definitely come back soon and recommend everyone to try the kebabs here.",0.9797,0.325,0.675,0.0
151,"This place is perfect ÌâåÊthey have the best Food , i loved the grilled chicken as well as the grilled meat both of them were so juicy and fresh . Also they have good fresh salad and different amazing kind of dressings it is wonderful how the flavors are so different from each other and each one has it's own taste that impresses you as it did for me . I tried as well the grilled salamon there it was quit extraordinarily amazing ÌâåÊi am willing to try again other types of their food and i am sire i will be impressed ÌâåÊthe hospitality there was so nice they had the best people to serve you",0.9937,0.344,0.656,0.0
152,This was our first time here and the food was delicious and fresh . The owner was very generous and attentive.,0.8622,0.361,0.639,0.0
153,Food was amazing I had dolmades for dinner. Even better was the atmosphere. Very clean and nicely designed place with soft music in the background and the manager (I think) came and turned the tv onto a nature show for my son. We left with my husband barley able to move from eating to much of the yummy food.,0.9456,0.238,0.762,0.0
154,"Chicken kebab wrap! The staff is so nice and friendly but the food was a-okay. I got the wrap and ate it only 5 minutes after I received it. However, it was incredibly soggy already as the juices from the meat had permeated the wrapping. At the end, I was eating a bite of the wrap with a fork while trying to get pieces of meat and tomato with my hands. Everything was torn up and dripping. It's not necessarily their fault but I've never had this problem with any other wraps. The plates are a lot more filling and come with a lot of food! You would not run into the problem I ran into with the plates, but insofar as I ate the wrap, I have nothing more to say!",-0.7449,0.055,0.857,0.088
155,I usually don't yelp any places but after coming here I had too make a statement about this place . I was really disappointed it about the portion of food & the price is way to high would I go back No,-0.8121,0.0,0.817,0.183
156,"Having just moved to Santa Ana recently I just happened across the Kebab Place the other day after what looked like a particularly busy lunch. ÌâåÊEverything was clean and well designed and the environment was comfortable. ÌâåÊSo having been moving towards being a vegetarian I ordered the falafel salad to go. ÌâåÊIt took just a little longer to get my food than I thought it should but I think they had been so busy for lunch (a good sign right?). ÌâåÊI took my falafel home and it was fresh and hot and had a wonderful crunch on the outside and tasty inside. ÌâåÊThe sauces provided were fresh and tasty. ÌâåÊSo I decided today to use the online ordering to order a chicken wrap and got it to go again because I live so close and needed to get back to my home office. ÌâåÊThe ordering was super easy and allowed me to pay on-line. ÌâåÊI walked over and the same friendly man, I'm assuming the owner, greeted me and asked me if I needed anything else and handed me my wrap. ÌâåÊI got home and opened it up and realized that I hadn't checked the tzatziki check box so there wasn't any included, oops. ÌâåÊI won't make that mistake again. ÌâåÊNot that I really needed it because the wrap alone was scrumptious! ÌâåÊChicken was moist and flavorful and the rest of the ingredients were fresh and tasty. ÌâåÊI could make this a regular habit and I'm just really grateful Kebab Place is close by.By the way, I saw a one star review for Kebab Place and can't help but think the reviewer had other motives or was just ignorant regarding what good food and service is. ÌâåÊI thought the portion size was perfect and the service was friendly and the food was very flavorful. ÌâåÊSome people just can't be pleased with anything.",0.9951,0.188,0.775,0.036
157,"Found Kebab Place totally by accident but so glad I did. Dragged my reluctant wife there and she had the best tasting, big juicy burger she's ever had Ever! I had the salmon kebab and I couldn't have been happier. Everything was perfect, from the rice to the succulent pieces of marinated salmon. The salad crisp and substantial with chunks of cucumber and tomatoes. Their chicken kebab is just as succulent. It was a meal worthy of a five star restaurant. All that was missing was a nice glass of wine. They don't have their alcohol license yet, but I understand they are working on it. Im picky about my food and I have to say my tummy was happy and satisfied well after we had gone. I highly recommend this restaurant! Please tell Roc I sent you!",0.9883,0.26,0.663,0.076
158,This place has got to be one of my favorite Mediterranean spot in santa ana. Ordered the sultan platter and it had 3 different types of meat to choose from. Rok helped us out with a smile and also gave us extra complimentary pita bread! This place Roks!,0.6792,0.165,0.772,0.063
159,Great tasting kabobs and friendly service. ÌâåÊAlso available on Uber Eats which is nice!,0.8858,0.486,0.514,0.0
160,Nice little place in DTSA upcoming for a decade but still not there yet! ÌâåÊMeat eaters heaven. ÌâåÊHummus was freshly made when I visited but not sure if I was lucky? Would try them again with a larger group!,0.8478,0.241,0.703,0.055
161,"The food was excellent, Friendly staff and would definitely recommend this place . Had the Gyro plate my friend had the chicken kabob plate he also said it was excellent. Would come back definitely come back again.",0.967,0.428,0.572,0.0
162,"The plates are huge and the food is amazing. Typically you wait for your food at Mediterranean spots but not here, it was in and out. ÌâåÊEverything was so fresh. 10 out of 10. I got the chicken kabob plate.",0.7927,0.183,0.817,0.0
163,"Kebab Place exceeded all of my expectations. I ordered the Greek Burger and my wife got the Gyro Kebab Wrap. Both were delicious and the service was excellent. All the flavors took us back to our trip to Greece. The burger added a nice twist, and I'm completely stuffed as we speak. The seasoned fries were nice and crispy and completed the meal. Five stars and will visit again :)",0.9432,0.203,0.797,0.0
164,"Came here with co-workers for lunch for the first time. ÌâåÊMy co workers were raving about it and it didn't disappoint. ÌâåÊLocated in Downtown Santa Ana, it's a great place for kabobs. ÌâåÊWe went up to the counter to order and one of the owners was at the register. He was super helpful with answering some questions on the menu. He was super friendly!The pita bread with the dipping sauce was super good. ÌâåÊThe dipping sauce was nice and refreshing! ÌâåÊI ordered the Koobideh platter which was super good. I definitely want to come back to try the chicken kabobs (which I hear is a favorite) and the other portions on the menu.",0.9867,0.276,0.699,0.025
165,"Ordered couple of times here. Their kobideh and chicken kabab are perfect. For the side I'd definitely recommend their felafel. In general, good place to have lunch.",0.8957,0.339,0.661,0.0
166,"3 1/2 stars for this visit. ÌâåÊMy original lunch plans was to try the new Irenia located next to the Rags newspaper stand, but apparently they don't bother to post on the door they're NOT open for lunch on Tuesdays. ÌâåÊSo we walked around the corner and spied Kebab Place, located across the street from Starbucks. ÌâåÊThey advertised their ""highly recommended"" chicken kebab plate for $11.99.The place is tiny and narrow. There's counter seating along the wall, and 4 or 5 tables for 2 or 4 people along the other wall, and a few tables outside. ÌâåÊI wasn't too happy you have to crane your neck to read the menu posted above the order counter. ÌâåÊYes, its big but it's also 10 feet above you.There's no ""lunch specials"" here, or combos like a chicken and a beef plate, or a soup and salad combo. We decided on the recommended Chicken Kebob. ÌâåÊMy coworker Anna had it with rice only, while I had the rice and salad combo for the same price.While we waited, we received a basket of hot. freshly grilled pita bread. ÌâåÊWe were fortunate that we were the first one there, so our food didn't take long. ÌâåÊWhile we were eating, the place got filled up pretty fast.The only difference between my chicken plate and Anna's rice only plate is Anna got an extra tomato and no salad, while I got a bowl of salad but heavy on the vinaigrette dressing. Very tart and sour! ÌâåÊIf you want a salad, ask for the dressing on the side.My chicken plate with a canned soda (only a buck, cheaper than a fountain drink) came to $14 and change after tax. ÌâåÊI gave $15 and told them to keep the change.Overall, not bad. ÌâåÊI've had better Persian/ Middle Eastern food. The chicken had good flavor but a bit dry. ÌâåÊThe portion is adequate for lunch, but for $12, I'd rather go to Panini Grill at the MainPlace Mall for more.I'd come back if I didn't want to drive my car, as its only 2 blocks from my office.",0.9604,0.104,0.85,0.046
167,"Such good food! Try the gyro plate, it's one of the best I've ever had. The warm pita, delicious green sauce, Mediterranean side salad and perfectly sliced gyro just made for an awesome combination. Would definitely return after this great meal. Service is super friendly and it is in a great location.",0.9902,0.491,0.469,0.041
168,"Came here on a slow weekday for takeout when I was passing by the block. Upon entering I was greeted by a gentleman at the cashier and placed my order. Including myself, there were two other patrons, whom were almost done with their meals. Decor was charming and atmosphere laid back. Wait: I waited around 30 minutes for my order (2 gyros and a salad), which I felt was quite a long time for being the only person ordering in the restaurant. ÌâåÊFood: Mediocre. Gyro was on the saltier side, and the salad had a lot of liquid (I did not put dressing in my salad) at the bottom. Freshly washed lettuce, maybe? Portions were plentiful, which was nice. However, something occurred that made my experience here very negative. As I was waiting I turned to find the gentleman that greeted me VAPING at the register. In the enclosed restaurant space. Literally less than 10 feet away from the restaurant kitchen. That is unacceptable--especially if you are helping to handle food.Even if smoking was allowed in an enclosed restaurant space, the fact that restaurant staff was smoking during business hours (he was not on a work break) and so close to the food prep area was a big NOPE.Overall, food itself was fine, but it is not worth it for me to return upon seeing that disregard of health code.",-0.1768,0.046,0.914,0.04
169,"My boss and I were in town for work so we decided on Mediterranean food. Yelp reviews didn't let me down as this place has great food and owner was real appreciative of our business. Kebab meat from salmon, beef, and chicken was cooked perfect. Everything was flavorful from pita bread to meat to veggies and sauces. Portions are good as well!",0.923,0.222,0.732,0.045
170,What eating establishment does not have a bathroom!! I ordered the Gyro wrap with falafel. ÌâåÊThe owner is very nice and was very apologetic for not serving romaine lettuce. ÌâåÊI knew there was a problem when the couple behind me was served their food prior to mine...and they had full plate dinners. ÌâåÊI was brought the wrap with French fries. ÌâåÊI waited another 10 minutes to be brought two burnt small felafel. ÌâåÊThe gyro meat was a bit too salty. ÌâåÊSorry,0.2446,0.045,0.922,0.033
171,"Amazing food! Clean, delicious, and always a hefty serving. The owner is extremely hospitable and knows what good customer service is. I come here often with my family and even had them cater my little sister's 18th birthday because it's her favorite place to get kebabs.",0.9468,0.296,0.704,0.0
172,"Was very disappointed that they don't use a simple water filter for tap water or ice. What do they clean the dishes, salad, and make the rice with? Dirty ass water? If it requires a warning before they serve you, should you even risk it?",-0.9029,0.05,0.678,0.272
173,"Great food, ÌâåÊcame here with my daughter for dinner and was truly impressed with the outcome. I will definitely be back for more!!!",0.9284,0.432,0.568,0.0
174,Excellent service and food!! I got the sultan plater and it was so delicious. The cilantro sauce with the bread is so so so so good.,0.9376,0.379,0.621,0.0
175,Oh! ÌâåÊSuch tasty food and friendly service too. The baklava was the best ever had and I literally almost cried!!!,0.8053,0.319,0.595,0.086
